source,summary,model,HHEMv1,HHEM-2.1,HHEM-2.1-English,trueteacher,true_nli,gpt-3.5-turbo,gpt-4-turbo,gpt-4o,HHEM-2.1-Open,minicheck-roberta-large,minicheck-deberta-v3-large,minicheck-flan-t5-large,gpt-4
"First blood to United after their Under 18s saw off City 1-0 in the 'mini-derby'. Kits aside, this was probably as far removed from Sunday's big match as you could imagine. For a start, no less than 13 out of the 22 players on show at kick-off were English. Of those, 10 were Mancunian. Callum Gribbin was the matchwinner for Manchester United with a delightful free-kick . Ticket prices? Entry was free and close to 1,000 gathered on the seats and terraces of Moss Lane for a match that kicked off at 3pm on Saturday with half-and-half scarves nowhere to be seen. Altrincham's compact 6,000-capacity home may not be Old Trafford, but it does have a proud history of its own. It was certainly a grander stage than a windswept Saturday morning on an outfield at United's Carrington complex, where Paul McGuinness's Under 18s usually ply their trade. The young Reds coach wanted to make the experience closer to what his tyros could expect should they make the step up to the seniors. And his side lined up with three at the back and supporting wingbacks in a formation seen more than once this season in the first team. In an even first-half the impressive Marcus Wood, from just down the road in Sale, came closest for City with an audacious chip. United manager Paul McGuinness saw his side claim victory in the 'mini derby' For the home side towering centre-forward Marcus Rashford, another local lad from whom big things are expected, wasted two decent opportunities when put through. Just before the hour mark England Under 17 star Callum Gribbin made and scored the first. In March, the nifty-footed attacking midfielder went viral when United tweeted a clip of him showing outrageous skills to trick four Aston Villa players. He was at it again here, showing nifty footwork on the edge of the box and drawing a foul. After dusting himself down Gribbin stepped up to curl a delightful free-kick around the wall and beyond blonde Joe Hart-a-like Charlie Albinson in the City goal. Moments later it was almost two when full-back Cameron Borthwick-Jackson's rasping 25-yard drive struck the angle of the crossbar and post. The same man looked to have gotten away with one when he appeared to clip Buckley in the box before sub Aaron Nemane hit the side-netting as the visitors looked for an equaliser. Dutch winger Javairo Dilrosun curled a free kick onto the roof of the net in stoppage time for City but that was all she wrote. The result leaves United, who have won two of this year's cross-town clashes, two points behind leaders Middlesbrough with a game in hand. Injury-ravaged City however, have now lost both matches in the Barclays Under 18s Premier League end-of-season play-off series. FA chief Greg Dyke recently bemoaned the lack of first-team opportunities for homegrown talent between the ages of 18 and 21. On the evidence of this entertaining 90 minutes high on skill and commitment, there are talents on both sides that may well deserve their chance in the On the evidence of this entertaining 90 minutes high on skill and commitment, there are talents on both sides that may well deserve their chance in the coming years."," In the'mini-derby', Manchester United's Under 18s defeated City's Under 18s 1-0. The match was played at Altrincham's home, a 6,000-capacity stadium, and was free for spectators. The majority of the players were English, with 10 being Mancunian. Callum Gribbin, an England Under 17 star, scored the winning goal with a free-kick. Marcus Rashford, another local talent, had chances for United but failed to convert. City had opportunities to equalize but were unsuccessful. The result leaves United two points behind leaders Middlesbrough with a game in hand. The match showcased promising talent on both sides that may deserve first-team opportunities in the future.",mistralai/Mistral-7B-Instruct-v0.3,0.86453,0.87999,0.98999,1,1.0,1,1,1,0.88571,0,0,1,1
"Last week she was barely showing – but Demelza Poldark is now the proud mother to the show’s latest addition. Within ten minutes of tomorrow night’s episode, fans will see Aidan Turner’s dashing Ross Poldark gaze lovingly at his new baby daughter. As Sunday night’s latest heartthrob, women across the country have voiced their longing to settle down with the brooding Cornish gentleman – but unfortunately it seems as if his heart is well and truly off the market. Scroll down for video . Last week she was barely showing – but Demelza Poldark is now the proud mother to the show’s latest addition . He may have married his red-headed kitchen maid out of duty, but as he tells her that she makes him a better man, audiences can have little doubt about his feelings. What is rather less convincing, however, is the timeline of the pregnancy. With the climax of the previous episode being the announcement of the pregnancy, it is quite a jump to the start of tomorrow’s instalment where Demelza, played by Eleanor Tomlinson, talks about being eight months pregnant. Just minutes after – once again without any nod to the passing of time – she is giving birth, with the last month of her pregnancy passing in less than the blink of an eye. With the climax of the previous episode being the announcement of the pregnancy, it is quite a jump to the start of tomorrow’s instalment where Demelza, played by Eleanor Tomlinson, talks about being eight months pregnant . As Sunday night’s latest heartthrob, women across the country have voiced their longing to settle down with Poldark – but unfortunately it seems as if his heart is well and truly off the market . Their fast relationship didn't go unnoticed by fans. One posted on Twitter: ‘If you are pregnant in Poldark times expect to have it in the next 10 minutes’ It is reminiscent of the show’s previous pregnancy that saw Elizabeth, another contender for Ross’s affection, go to full term in the gap between two episodes. This didn’t go unnoticed by fans, who posted on Twitter: ‘Poldark is rather good, would watch the next one now. Though if you are pregnant in Poldark times expect to have it in the next 10 minutes.’"," The passage discusses the Poldark TV show and its latest addition, a new baby girl born to the character Demelza Poldark, played by Eleanor Tomlinson. The timeline of Demelza's pregnancy is questionable, as she goes from barely showing to eight months pregnant within a short timeframe in the show. Ross Poldark, played by Aidan Turner, is shown to be in love with Demelza, but it is mentioned that his heart seems to be off the market. The fast pace of pregnancies in the show has been noted by fans, who have commented on social media. The passage also mentions that Ross Poldark is a popular heartthrob among women.",mistralai/Mistral-7B-Instruct-v0.3,0.95855,0.49395,0.94079,1,1.0,1,1,1,0.80758,0,1,1,1
"Anne Rice . Born in New Orleans , Rice spent much of her early life there before moving to Texas , and later to San Francisco . Route 495 is a 3.45 mi freeway in Hudson County , New Jersey , in the United States that connects the New Jersey Turnpike ( Interstate 95 , I-95 ) at exits 16E and 17 in Secaucus to New York State Route 495 ( NY 495 ) inside the Lincoln Tunnel in Weehawken , providing access to Midtown Manhattan ."," Anne Rice, born in New Orleans, lived in various places including Texas and San Francisco. The passage also describes Route 495, a 3.45-mile freeway in Hudson County, New Jersey. This route connects the New Jersey Turnpike (I-95) at exits 16E and 17 in Secaucus to New York State Route 495 inside the Lincoln Tunnel in Weehawken, providing access to Midtown Manhattan.",mistralai/Mistral-7B-Instruct-v0.3,0.98776,0.98398,0.99762,1,1.0,0,1,1,0.96833,1,1,1,1
"Brad Wilk . He is best known as the drummer of the rock bands Rage Against the Machine ( 1991 -- 2000 ; 2007 -- 11 ) and Audioslave ( 2001 -- 07 ) . Wilk started his career as a drummer for Greta in 1990 , and helped co-found Rage with Tom Morello and Zack de la Rocha in August 1991 . As of 2016 , he is playing in the band Prophets of Rage , with Commerford , Morello , Chuck D , B-Real and DJ Lord . Rage is a German heavy metal band , formed in 1984 by Peter `` Peavy '' Wagner ."," Brad Wilk is a drummer who gained prominence as a member of the rock bands Rage Against the Machine (1991-2000, 2007-2011) and Audioslave (2001-2007). He began his career with the band Greta in 1990 and co-founded Rage with Tom Morello and Zack de la Rocha in August 1991. As of 2016, he is playing in the band Prophets of Rage. Rage Against the Machine is not a German heavy metal band, as stated in the passage, but rather an American rock band. The passage incorrectly mentions that Rage is a German heavy metal band, formed in 1984 by Peter ""Peavy"" Wagner.",mistralai/Mistral-7B-Instruct-v0.3,0.82963,0.36681,0.60632,1,1.0,0,0,1,0.65509,0,0,0,0
"The Millers . The multi-camera series aired from October 3 , 2013 to July 18 , 2015 and ran 34 episodes over two seasons on CBS . CBS announced the cancellation of The Millers on November 14 , 2014 , four episodes into the show 's second season ."," The passage discusses a multi-camera television series called ""The Millers,"" which aired on CBS from October 3, 2013, to July 18, 2015, spanning two seasons and 34 episodes. The show was canceled by CBS on November 14, 2014, four episodes into its second season.",mistralai/Mistral-7B-Instruct-v0.3,0.99865,0.96263,0.99389,1,1.0,0,1,1,0.938,1,1,1,1
"Dorothy Ann Willis Richards ( September 1 , 1933 -- September 13 , 2006 ) was an American politician and the 45th Governor of Texas from 1991 to 1995 . A Democrat , she first came to national attention as the state treasurer of Texas , when she delivered the keynote address at the 1988 Democratic National Convention . Richards served as the 45th Governor of Texas from 1991 to 1995 and was defeated for re-election in 1994 by George W. Bush . Richards was the second female governor of Texas , and was frequently noted in the media for her outspoken feminism and her one-liners . Ann Richards ( October 1 , 1935 -- April 1 , 1982 ) was an American jazz singer and the wife of pianist Stan Kenton ."," Ann Richards, born September 1, 1933, served as the 45th Governor of Texas from 1991 to 1995. She was a Democrat and the second female governor of Texas. Prior to her governorship, she gained national attention as the state treasurer of Texas, delivering the keynote address at the 1988 Democratic National Convention. She was defeated for re-election in 1994 by George W. Bush. Ann Richards is not the same person as the governor; Ann Richards, born October 1, 1935, was an American jazz singer and the wife of pianist Stan Kenton. The latter Ann Richards passed away in April 1982.",mistralai/Mistral-7B-Instruct-v0.3,0.4193,0.93139,0.93347,0,1.0,0,0,1,0.92307,1,0,0,1
`` Hourglass '' is a song by British electronic duo Disclosure . Hourglass is singer-songwriter James Taylor 's fourteenth studio album .," The passage describes that ""Hourglass"" is a song by the British electronic duo Disclosure. This song is featured on singer-songwriter James Taylor's fourteenth studio album.",mistralai/Mistral-7B-Instruct-v0.3,0.98921,0.85293,0.98901,1,1.0,0,0,0,0.91319,1,1,1,0
Veeram ( Valour ) is a 2014 Indian Tamil action film directed by Siva and produced by Vijaya Productions . Veeram ( Valour ) is a 2016 Indian epic historical drama film written and directed by Jayaraj .," The passage describes two different films:

1. Veeram (Valour), a 2014 Indian Tamil action film directed by Siva and produced by Vijaya Productions.

2. Veeram (another unspecified year, possibly 2016), an Indian epic historical drama film written and directed by Jayaraj. However, the passage does not provide any details about the plot, cast, or setting for either of these films.",mistralai/Mistral-7B-Instruct-v0.3,0.20417,0.48637,0.59316,0,0.0,0,1,1,0.71471,0,0,1,1
"Home for the Holidays is a 1972 American made-for-television horror film directed by John Llewellyn Moxey , produced by Aaron Spelling and starring Sally Field , Eleanor Parker , Julie Harris , Jessica Walter and Walter Brennan which premiered on ABC on November 28 , 1972 . Home for the Holidays (1995 film) . The film stars Holly Hunter , Robert Downey Jr. , Anne Bancroft , Charles Durning , Dylan McDermott , Geraldine Chaplin , Steve Guttenberg , Cynthia Stevenson , Claire Danes , Austin Pendleton and David Strathairn ."," The passage describes two films titled ""Home for the Holidays."" The first, a 1972 American made-for-television horror film, was directed by John Llewellyn Moxey, produced by Aaron Spelling, and starred Sally Field, Eleanor Parker, Julie Harris, Jessica Walter, and Walter Brennan. It premiered on ABC on November 28, 1972. The second film, a 1995 film of the same name, stars Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning, Dylan McDermott, Geraldine Chaplin, Steve Guttenberg, Cynthia Stevenson, Claire Danes, Austin Pendleton, and David Strathairn. However, the passage does not provide any details about the plot or content of either film.",mistralai/Mistral-7B-Instruct-v0.3,0.52599,0.77668,0.96613,1,1.0,1,1,1,0.96782,0,0,0,1
"Sheryl Lee . In 2016 , she appeared in Café Society , and also completed the Showtime revival of Twin Peaks ( 2017 ) , reprising her role of Laura Palmer . Sheryl Lee Ralph . In 2016 she played Madame Morrible in Wicked on Broadway ."," The passage provides information about two different individuals, Sheryl Lee and Sheryl Lee Ralph. Sheryl Lee, in 2016, appeared in the film Cafe Society and also completed a revival of Twin Peaks in 2017, reprising her role of Laura Palmer. On the other hand, Sheryl Lee Ralph played Madame Morrible in the Broadway production of Wicked in 2016.",mistralai/Mistral-7B-Instruct-v0.3,0.87591,0.9321,0.99183,1,1.0,0,1,1,0.9318,1,0,0,1
